age,default,balance,housing,loan,day,duration,campaign,pdays,previous,y,job_bluecollar,job_entrepreneur,job_housemaid,job_management,job_retired,job_selfemployed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_m,marital_mairied,marital_maried,marital_marirred,marital_married,marital_single,education_secondary,education_tertiary,contact_telephone,contact_unknown,month_22-Aug,month_27-Aug,month_28-Jul,month_8-Aug,month_August,month_apr,month_aug,month_august,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_success,poutcome_unknown
0.55659558320029,no,-0.5188143774884632,yes,yes,1.3279400704687185,-0.5600746553431316,2.0963017741568093,-0.41736228481588866,-0.2898768133649243,no,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0.08653605825699721,no,-0.41793900467644307,no,no,1.2106570203402183,-0.3102782502072969,4.447962535611233,-0.41736228481588866,-0.2898768133649243,no,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
-1.5116663265501984,no,-0.36862215574612217,no,no,-1.6041361827437872,0.44656757430873983,-0.5913105246482471,1.4366541095102878,1.1808505500109836,yes,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
0.7446193931776072,no,-0.33243511724530234,no,no,-0.7831548318442857,-0.8918937606728227,0.7524956247542811,-0.41736228481588866,-0.2898768133649243,no,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
-1.5116663265501984,no,-0.48871188528424125,yes,no,0.8588078699547175,-0.045568626854397346,-0.5913105246482471,-0.41736228481588866,-0.2898768133649243,no,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
-1.0416068016069056,no,-0.02596612746402248,yes,no,0.15510956918371616,-0.24689707278477163,-0.255358987297615,-0.41736228481588866,-0.2898768133649243,no,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.27455986823431433,no,1.5685052415234304,yes,yes,0.15510956918371616,-0.761403101273506,-0.5913105246482471,1.4870349897908905,0.20036564109371172,no,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-0.7595710866409299,no,-0.7509878545954932,yes,yes,1.3279400704687185,-0.4929651733663402,-0.5913105246482471,-0.41736228481588866,-0.2898768133649243,no,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1.4027027280982172,no,0.17386318248740765,yes,no,-1.369570082486787,-0.42958399594381497,-0.255358987297615,2.2125196658315684,0.20036564109371172,no,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.6655591816522713,yes,-0.6565172673588395,yes,yes,-0.5485887315872853,-0.489236868812074,-0.255358987297615,-0.41736228481588866,-0.2898768133649243,no,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
